project_id,file_name,status,match_status,reason,pages,pages_with_text,text_layer_rate,pdf_tables_extracted,pages_with_tables,md_table_blocks,pdf_table_title_count,matched_title_count,title_complete_rate,checked_rows,complete_rows,partial_rows,missing_rows,skipped_rows,row_complete_rate,md_file,file_id
PL147,PL147_佛山市顺德区大亚湾五金塑料有限公司新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,63,42,66.7,116,41,0,60,60,100.0,631,588,15,28,1022,93.2,解析文本拼接_表格清洗增强_07_121-140.md,134_佛山市顺德区大亚湾五金塑料有限公司新建项目_01_受理公告或公示版
PL148,PL148_佛山市浩创时代包装制品有限公司新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,111,78,70.3,188,76,0,71,70,98.6,1454,1356,32,66,1755,93.3,解析文本拼接_表格清洗增强_07_121-140.md,135_佛山市浩创时代包装制品有限公司新建项目_01_受理公告或公示版
PL149,PL149_佛山江福英智能设备制造有限公司新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,75,55,73.3,148,54,0,0,0,100,965,874,32,59,1218,90.6,解析文本拼接_表格清洗增强_07_121-140.md,136_佛山江福英智能设备制造有限公司新建项目_01_受理公告或公示版
PL151,PL151_佛山市顺德区德毅塑料有限公司新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,84,64,76.2,162,64,0,58,58,100.0,706,618,34,54,1321,87.5,解析文本拼接_表格清洗增强_07_121-140.md,137_佛山市顺德区德毅塑料有限公司新建项目_01_受理公告或公示版
PL152,PL152_佛山市顺德区派信誉塑料有限公司新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,87,70,80.5,176,78,0,61,61,100.0,979,893,44,42,1668,91.2,解析文本拼接_表格清洗增强_07_121-140.md,138_佛山市顺德区派信誉塑料有限公司新建项目_01_受理公告或公示版
PL153,PL153_佛山市诗佳格科技有限公司新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,77,53,68.8,146,53,0,0,0,100,903,786,45,72,1229,87.0,解析文本拼接_表格清洗增强_07_121-140.md,139_佛山市诗佳格科技有限公司新建项目_01_受理公告或公示版
PL154,PL154_佛山市华泷彩科技有限公司新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,75,54,72.0,148,53,0,0,0,100,980,883,37,60,1189,90.1,解析文本拼接_表格清洗增强_07_121-140.md,140_佛山市华泷彩科技有限公司新建项目_01_受理公告或公示版
PL155,PL155_佛山市洲友尚包装材料有限公司新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,78,65,83.3,158,60,0,54,54,100.0,1043,972,43,28,1359,93.2,解析文本拼接_表格清洗增强_08_141-160.md,141_佛山市洲友尚包装材料有限公司新建项目_01_受理公告或公示版
PL156,PL156_佛山市坤琪玲塑料制品有限公司新建项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,66,62,93.9,148,62,0,3,3,100.0,806,697,30,79,1118,86.5,解析文本拼接_表格清洗增强_08_141-160.md,142_佛山市坤琪玲塑料制品有限公司新建项目_01_受理公告或公示版
PL157,PL157_佛山市顺德区兴致盛塑料制品有限公司重新报批项目_01_受理公告或公示版.pdf,需复核,file_id精确匹配,存在部分PDF表格行未在md中完整命中,102,76,74.5,188,76,0,62,62,100.0,960,856,33,71,1497,89.2,解析文本拼接_表格清洗增强_08_141-160.md,143_佛山市顺德区兴致盛塑料制品有限公司重新报批项目_01_受理公告或公示版
