excel_order,new_project_order,project_name,version_index,old_name,new_name
62,52,佛山市玖心日用品有限公司新建项目,1,063_佛山市玖心日用品有限公司新建项目_01_报批稿或报告表.pdf,052_佛山市玖心日用品有限公司新建项目_01_报批稿或报告表.pdf
63,53,佛山市靓禾厨卫用品有限公司新建项目,1,064_佛山市靓禾厨卫用品有限公司新建项目_01_受理公告或公示版.pdf,053_佛山市靓禾厨卫用品有限公司新建项目_01_受理公告或公示版.pdf
64,54,万业诚新材料（佛山）有限公司迁建项目,1,065_万业诚新材料（佛山）有限公司迁建项目_01_受理公告或公示版.pdf,054_万业诚新材料(佛山)有限公司迁建项目_01_受理公告或公示版.pdf
65,55,广东顺德顺炎新材料股份有限公司年产改性塑料粒 6 万吨迁扩建项目,1,066_广东顺德顺炎新材料股份有限公司年产改性塑料粒6万吨迁扩建项目_01_报批稿或报告表.pdf,055_广东顺德顺炎新材料股份有限公司年产改性塑料粒6万吨迁扩建项目_01_报批稿或报告表.pdf
66,56,佛山市顺德区耀顺欣模具厂新建项目,1,067_佛山市顺德区耀顺欣模具厂新建项目_01_受理公告或公示版.pdf,056_佛山市顺德区耀顺欣模具厂新建项目_01_受理公告或公示版.pdf
67,57,佛山市至贤科技有限公司新建项目,1,068_佛山市至贤科技有限公司新建项目_01_受理公告或公示版.pdf,057_佛山市至贤科技有限公司新建项目_01_受理公告或公示版.pdf
68,58,佛山市安邵塑胶制品有限公司新建项目,1,069_佛山市安邵塑胶制品有限公司新建项目_01_报批稿或报告表.pdf,058_佛山市安邵塑胶制品有限公司新建项目_01_报批稿或报告表.pdf
68,58,佛山市安邵塑胶制品有限公司新建项目,2,081_佛山市安邵塑胶制品有限公司新建项目_01_受理公告或公示版.pdf,058_佛山市安邵塑胶制品有限公司新建项目_02_受理公告或公示版.pdf
69,59,佛山市思莱拓科技有限公司新建项目,1,070_佛山市思莱拓科技有限公司新建项目_01_受理公告或公示版.pdf,059_佛山市思莱拓科技有限公司新建项目_01_受理公告或公示版.pdf
70,60,佛山市昊芸照明有限公司新建项目,1,071_佛山市昊芸照明有限公司新建项目_01_受理公告或公示版.pdf,060_佛山市昊芸照明有限公司新建项目_01_受理公告或公示版.pdf
71,61,佛山市友帝塑料制品有限公司扩建项目,1,072_佛山市友帝塑料制品有限公司扩建项目_01_受理公告或公示版.pdf,061_佛山市友帝塑料制品有限公司扩建项目_01_受理公告或公示版.pdf
72,62,佛山市优塑包装科技有限公司新建项目,1,073_佛山市优塑包装科技有限公司新建项目_01_受理公告或公示版.pdf,062_佛山市优塑包装科技有限公司新建项目_01_受理公告或公示版.pdf
73,63,佛山市顺德区德盈誉智能制造有限公司新建项目,1,074_佛山市顺德区德盈誉智能制造有限公司新建项目_01_受理公告或公示版.pdf,063_佛山市顺德区德盈誉智能制造有限公司新建项目_01_受理公告或公示版.pdf
73,63,佛山市顺德区德盈誉智能制造有限公司新建项目,2,146_佛山市顺德区德盈誉智能制造有限公司新建项目_01_受理公告或公示版.pdf,063_佛山市顺德区德盈誉智能制造有限公司新建项目_02_受理公告或公示版.pdf
74,64,广东圣鑫机电股份有限公司扩建项目,1,075_广东圣鑫机电股份有限公司扩建项目_01_受理公告或公示版.pdf,064_广东圣鑫机电股份有限公司扩建项目_01_受理公告或公示版.pdf
